sex,age,H,E,C,FoC
male,19,3.9,2.9,3.7,2.4
female,18,3.3,4,4,1.6
female,19,2.8,3.2,3.6,NA
female,20,3.5,2.7,3.2,2.6
female,20,NA,3.4,4.2,2.6
female,18,3.6,3.3,3.8,1
female,21,NA,2,4.4,3
female,20,3.3,2.2,3.5,3.2
female,19,3,3,3,3
male,27,4,NA,2.9,1.8
male,65,3.1,2.8,3.7,1.6
male,36,3.6,NA,3.8,2
female,19,3.9,3.5,3.2,2.6
female,42,3.7,2.5,3.4,1.8
male,57,4.3,2.8,3.9,1.2
female,19,3.4,3.1,3.6,1.6
female,29,NA,4.3,4.2,3
female,20,3.3,2.8,2.9,1.8
female,38,4,3.9,3,1.6
female,20,3.4,3.2,3.6,2
male,30,2.5,2.3,3.2,1.2
male,49,4,NA,3.3,1
male,33,2.3,2.4,3.3,1.2
female,19,3.4,3.1,3.1,3
female,19,3,3.3,3,3
male,27,3.5,3,3.9,2.6
male,46,4.5,NA,4,1
female,21,3.9,3.7,3.6,2.6
male,42,3.6,3,3.8,1.4
male,19,2.8,3.1,2.7,2.4
female,53,3.9,3.6,3.7,2
male,41,3.8,2.6,3.7,2
female,19,3.3,NA,3.2,2.4
female,20,2.5,3.9,4,NA
male,18,2.8,3.1,3.2,2
male,49,3.7,NA,3.1,1.2
female,21,3.2,NA,3.6,3
female,19,NA,3.2,4.4,1
male,37,2.4,2.7,3.8,1.2
female,19,3.1,3.5,3.5,3
male,61,3.3,2.9,3.7,2
female,34,NA,4.5,4.5,NA
female,19,3.2,3.1,3.4,1
female,32,3.9,2.3,3.2,1
male,39,4.2,3.2,3.2,1
male,26,3,1.9,2.9,2.2
female,18,3.4,4,3.8,NA
female,19,2.3,NA,3.2,1.2
female,20,3.5,3.4,2.9,2.8
male,41,2.8,NA,3.9,2.6
male,19,2.8,2.7,3.8,2.2
female,26,NA,3,4.4,2.6
female,19,2.7,NA,3.5,NA
female,22,3.6,3.6,4,1.4
female,20,3.3,2.4,4,2.8
male,48,3.6,2.8,3.5,1.4
male,20,3.6,1.4,3,1.6
female,23,3,3.9,3.9,1.2
female,19,3.9,3.5,4,3
female,18,3.4,2.8,3.3,1
female,36,3.8,2.9,3.3,1.4
female,18,2.2,NA,3.8,1.4
female,18,3,3.9,2.9,2.8
female,19,3.6,NA,2.4,NA
male,19,2.2,3.4,2.9,1
female,21,3.3,NA,3.9,2.6
male,19,4.6,1.6,3.5,1
female,20,3.5,3.8,4,3
female,21,3.6,3.4,3.8,3.4
female,38,NA,3.2,4.4,1.6
female,53,3.7,3.1,3.3,1.4
male,19,3.1,3.7,2.9,3
female,19,2.9,4.3,3.2,2
female,20,2.5,4.6,2.1,NA
female,19,3.5,4.2,4,2.4
female,27,NA,3.7,4.2,1
female,20,3.3,NA,2.9,3
female,18,2.7,NA,4,3.4
female,41,NA,3.7,4.1,3.4
female,66,3.7,3.2,3.8,1.2
female,18,3.4,4,3.6,1.6
female,21,3.8,4.8,3.2,1.4
female,18,NA,NA,4.5,NA
female,19,NA,3.9,4.4,3.4
female,43,2.6,2.5,3.7,3.2
female,20,2.9,NA,3.9,3.2
male,19,2.9,2.5,3.9,1.2
female,31,NA,NA,4.1,3.4
female,20,NA,3.5,4.1,2
female,19,2.4,3.1,2.3,3
male,18,3.2,4.1,3,2
female,19,3.4,NA,4,NA
female,23,NA,3.4,4.7,3.2
female,46,3.7,NA,3.8,1
